brand,desc,disc_price,actual_price,image_url
ANNI DESIGNER,Women's Silk Traditional Khan Saree with Blouse Piece (Dark Maroon),569,3999,https://m.media-amazon.com/images/I/61SXA9TdnJL._AC_UL320_.jpg
KANCHNAR,Women's Chiffon printed Saree,533,2179,https://m.media-amazon.com/images/I/71AB3ZkmnfL._AC_UL320_.jpg
SGF11,Women's Kanjivaram Soft Silk Saree With Blouse Piece (Green),999,5999,https://m.media-amazon.com/images/I/41YAEmt3qFS._AC_UL320_.jpg
Sidhidata,"Women's Plain Weave Georgette Saree With Blouse Piece (SDT Pure White_White, Pure White)",499,1999,https://m.media-amazon.com/images/I/718krpgiLlL._AC_UL320_.jpg
ANNI DESIGNER,Pure Chiffon with blouse piece Saree,429,2599,https://m.media-amazon.com/images/I/81b-zM6QeeL._AC_UL320_.jpg
Satrani,"Women's Georgette Saree With Blouse Piece (1817ST211,Aqua Blue), free size",499,1668,https://m.media-amazon.com/images/I/71TlcFDkIAL._AC_UL320_.jpg
Sidhidata,Women's Kota Doria Cotton Manipuri Saree With Unstitched Blouse Piece,449,2999,https://m.media-amazon.com/images/I/91qoMPJhBES._AC_UL320_.jpg
ishin,georgette with blouse piece Saree (Pack of 5),1299,3299,https://m.media-amazon.com/images/I/917c4qQLVJL._AC_UL320_.jpg
Navya Diseno,"Women's Georgette Printed Silk Saree Jacquard Lace Border Work Saree For Women Fancy Georgette Saree Offer Designer Below 299 Rupee Silk 799 Under In Latest with Silk Blouse Beautiful For women Causal, ceremony And Wedding all Collection Free Size With Blouse Piece",1196,3599,https://m.media-amazon.com/images/I/71MgqgpCTlL._AC_UL320_.jpg
SGF11,Women's Kanchipuram Kanjivaram Silk Saree With Blouse Piece (SGF11-0998MG _Dark Blue),990,5999,https://m.media-amazon.com/images/I/61QKUBBRubS._AC_UL320_.jpg
Womanista,Women's Jacquard Chiffon Saree with Blouse (TI1177_Red_One Size_Red),639,1999,https://m.media-amazon.com/images/I/81njj0BFP6L._AC_UL320_.jpg
GoSriKi,Art Silk with blouse piece Saree,379,2599,https://m.media-amazon.com/images/I/81uSvaWKNtL._AC_UL320_.jpg
ANNI DESIGNER,Women's Art Silk With Blouse Piece Saree,299,2599,https://m.media-amazon.com/images/I/81Pks4Q52wL._AC_UL320_.jpg
OOMPH!,Women’s Art Silk Printed Kalamkari Sarees with Tassles,349,1670,https://m.media-amazon.com/images/I/91HDLZc8wRL._AC_UL320_.jpg
Satrani,Women'S Poly Silk DEmbroidery Saree With Blouse Piece,809,2533,https://m.media-amazon.com/images/I/61B1uFGUcML._AC_UL320_.jpg
Flosive,Women's Georgette Net Embroidery Saree with Blouse Piece.(FL- red silk net),899,1200,https://m.media-amazon.com/images/I/71xE92l+GGL._AC_UL320_.jpg
Y2Y,Women's Bandhani Khaddi Silk Saree With Blouse Piece Hot New Releases Saree For Women Party Wear Half Sarees Bollywood Style Cotton Saree Designer Saree Below 500 Rupees Latest Design Under 300 Combo Art Silk New Collection 2020-2021 In Latest With Designer Blouse Beautiful For Women Party Wear Sadi Offer Sarees Collection Kanchipuram Bollywood Bhagalpuri Embroidered saree Georgette Saree Mirror Work Marriage Wear Replica Sarees Wedding Casual Design Blouse Pieces Free Size 6.30 Meter,399,1499,https://m.media-amazon.com/images/I/61bQC5AMyAL._AC_UL320_.jpg
Anand Sarees,"Set of 2 Georgette Sarees with Blouse Piece, Multicolored, Free Size (COMBO_AS_1499_1560)",559,1999,https://m.media-amazon.com/images/I/A1kDVUVa08L._AC_UL320_.jpg
Womanista,"Women's Georgette Saree with Blouse Piece (TI1425, Brown & White, One size)",719,2179,https://m.media-amazon.com/images/I/81rfmQDfD5L._AC_UL320_.jpg
PERFECTBLUE,Women's Blend Linen Silk Digital Saree With Blouse Piece(Part-2-Digital),399,1999,https://m.media-amazon.com/images/I/81HWahslWUL._AC_UL320_.jpg
PERFECTBLUE,Women's Digital Linen Saree with Unstitched Blouse Piece (Digi3Pan),409,2999,https://m.media-amazon.com/images/I/91ih3iVhHeL._AC_UL320_.jpg
PERFECTBLUE,Women`s Art Silk saree with Blouse Piece(Sa9na3shadeVariation),369,2999,https://m.media-amazon.com/images/I/715NYXDhD-L._AC_UL320_.jpg
Yashika,Women Art Silk Lace Printed Saree Free Size (AIR),249,1047,https://m.media-amazon.com/images/I/81aNTIP5PQL._AC_UL320_.jpg
Womanista,Women's Jacquard Georgette Saree with Blouse (TI1167_Black_One Size_Black),639,1999,https://m.media-amazon.com/images/I/81h7PuLq-yL._AC_UL320_.jpg
Kalkee Fashion,Women's Kanchipuram Soft Pattu Silk Jacquard Zari Work Saree With Blouse Piece,1009,3299,https://m.media-amazon.com/images/I/41eD6Ewab2L._AC_UL320_.jpg
GoSriKi,Women's Cotton Saree with Blouse (Pure Cotton 100% 1042_1_Multicolored_FS_Multicolor),379,1999,https://m.media-amazon.com/images/I/71Ecj9TEFLL._AC_UL320_.jpg
Womanista,"Women's Crepe Saree with Blouse Piece (WM1312_Off White & Pink_Onesize_Off White, Pink)",949,2199,https://m.media-amazon.com/images/I/71TJ9p46PVL._AC_UL320_.jpg
ANNI DESIGNER,Women's Pure Cotton Saree Without Blouse,379,2500,https://m.media-amazon.com/images/I/9165F3WUCEL._AC_UL320_.jpg
Jaanvi fashion,Chiffon with Blouse Piece Saree,472,1500,https://m.media-amazon.com/images/I/81UrqYojVXL._AC_UL320_.jpg
VG CREATION,KHUSHI CREATION Women's Designer Aqua Blue Jacquard Soft Silk Saree for Party-wear wedding kanchipuram silk sarees for women casual Banarasi Saree for Women,1029,2999,https://m.media-amazon.com/images/I/6137NLQAnCS._AC_UL320_.jpg
Winza Designer,Women's Woven Jute Silk Saree With blouse piece,597,2499,https://m.media-amazon.com/images/I/91Ko73taIuL._AC_UL320_.jpg
AKHILAM,Women's Bandhani Art Silk Saree with Blouse Piece,299,1299,https://m.media-amazon.com/images/I/71FMzZiI86L._AC_UL320_.jpg
Macube,"Women's Exclusive Peri Georgette Printed Saree Jacquard Lace Border Work Sarees For Women Fancy Georgette Sarees Offer Designer Below 499 Rupee Trendy Under 1399 Latest Silk Design New Fency 2021 In Latest with Banglori Silk Blouse Beautiful For women Party Wear, Causal, ceremony And Wedding All Collection Bollywood Free Size With Blouse Piece (Red)",1398,3999,https://m.media-amazon.com/images/I/61l-6sfIruL._AC_UL320_.jpg
Yashika,Womens Jute Silk Saree With Blouse Piece(NORA_Free Size),519,2097,https://m.media-amazon.com/images/I/91y1UWDohgL._AC_UL320_.jpg
gondaliya brothers,"women""s nazneen chiffon Square print jari border saree With Jequared Blouse piece",444,2199,https://m.media-amazon.com/images/I/413Ri1ueTXS._AC_UL320_.jpg
Womanista,"Women's Crepe Saree with Blouse (TKIM778_Blue & Beige_Free Size_Blue, Beige)",619,1849,https://m.media-amazon.com/images/I/81piPQ3XjgL._AC_UL320_.jpg
SIRIL,Women's Chiffon Printed Saree with Blouse Piece,489,1468,https://m.media-amazon.com/images/I/71lItZl4-CL._AC_UL320_.jpg
SGF11,Women Kanjivaram Soft Lichi Silk Saree With Blouse Piece (Light Blue)-Rama Green,799,5999,https://m.media-amazon.com/images/I/61UA30z1xkL._AC_UL320_.jpg
Avantika Fashion,Women's Solid Kanjivaram Soft Litchi Silk Saree With Blouse Piece,790,3499,https://m.media-amazon.com/images/I/61DGWxkVh-S._AC_UL320_.jpg
MSRETAIL,Woven Banarasi Patola Silk Saree For Women (PATOLA),999,6100,https://m.media-amazon.com/images/I/714Aq0gsInL._AC_UL320_.jpg
Bunny Creation,Women's Brocade Pure Chiffon Saree With Blouse Piece (1_Grey),585,1999,https://m.media-amazon.com/images/I/71Oz0kZl1eL._AC_UL320_.jpg
ANNI DESIGNER,Women's Woven Linen Saree (BEYHADH_WHITE),659,3999,https://m.media-amazon.com/images/I/61iyly+gNXL._AC_UL320_.jpg
TAMAIRA FASHION,Women's Plain Weave Pure Cotton Saree Without Blouse Piece,599,2999,https://m.media-amazon.com/images/I/91vob0XEpzS._AC_UL320_.jpg
Zeno,"Zenophily Women's Banarasi Jacquard Soft Lichi Silk Saree with Blouse Piece (Mustard, Maroon)",599,1999,https://m.media-amazon.com/images/I/71PzfMT5+cS._AC_UL320_.jpg
HappyAp,Women's Kanjivaram Style Zari Woven Jacquard Pure Banarasi Soft Lichi Silk Saree With Blouse,899,3999,https://m.media-amazon.com/images/I/71xBe0IfxmL._AC_UL320_.jpg
Womanista,"Women's Crepe Saree with Blouse (FSP770_Brown & Musatrd_Onesize_Brown, Mustard)",869,2699,https://m.media-amazon.com/images/I/81u7FYrQPpL._AC_UL320_.jpg
Anand Sarees,Georgette with Blouse Piece Saree,299,1999,https://m.media-amazon.com/images/I/71RQisQ60+L._AC_UL320_.jpg
Bankcroft Export,Saree For Women Party Wear Half Sarees Offer Designer Below 500 Rupees Latest Design Under 300 Combo Art Silk New Collection 2021 In Latest Collection With Designer Blouse Beautiful For Women Party Wear Sadi Offer Sarees Collection Kanchipuram Bollywood Bhagalpuri Embroidered Free Size Georgette Sari Mirror Work Marriage Wear Replica Sarees Wedding Casual Design Blouse Pieces Free Size(Yellow Saree),499,899,https://m.media-amazon.com/images/I/617o6EOrzIL._AC_UL320_.jpg
Womanista,TI1446 Women's Crepe Saree with Blouse Piece (Teal Green),609,1819,https://m.media-amazon.com/images/I/81wr1QpnNyL._AC_UL320_.jpg
Flosive,Women's Half Design Art Silk Kanchipuram and Art Silk Printed Mirror Work Replica Casual Beautiful Saree with Blouse Material for Sadi Offer Marriage(BANDHANI),399,800,https://m.media-amazon.com/images/I/71QAhmh4dgL._AC_UL320_.jpg
DHRUVI TRENDZ,Women's Soft Cotton Silk Saree with Blouse Piece Material,329,1999,https://m.media-amazon.com/images/I/812nLmG128L._AC_UL320_.jpg
Lovender Fashion,Women's Hot New Releases Sarees for Women Bandhani Printed Latest Design Party Wear New Collection 2021 Saree below 500 Rupees Saree (Free Size_Blue),499,1599,https://m.media-amazon.com/images/I/71ag4IBbT8L._AC_UL320_.jpg
Varkala Silk,palace Women's Shubh Vasttram Kanchi Pattu Kanchipuram Silk Saree With Blouse Piece (Bottle green colour),1699,4999,https://m.media-amazon.com/images/I/71UoGzbEXGS._AC_UL320_.jpg
Anaya Handloom,"Women's Bhagalpuri Linen Saree With Blouse Piece (ANW0147_Blue, Sky Blue)",577,1999,https://m.media-amazon.com/images/I/61RP+3b6doL._AC_UL320_.jpg
TAMAIRA FASHION,Women's Plain Weave Cotton Saree (1399nobp_Beige),599,2999,https://m.media-amazon.com/images/I/916L16S-lmL._AC_UL320_.jpg
Generic,Spefez Hot New Releases Great Indian Festival Saree For Women Party Wear Half Sarees Offer Designer Below 500 Rupees Latest Design Under 300 Combo Art Silk New Collection 2020-2021-2022 In Latest With Designer Blouse Beautiful For Women Party Wear Sadi Offer Sarees Collection Kanchipuram Bollywood Bhagalpuri Embroidered Free Size Georgette Sari for Marriage Wear Original Sarees Wedding Casual Design With Heavy Blouse Piece Material Free Size,475,1299,https://m.media-amazon.com/images/I/71-qrl3gvFL._AC_UL320_.jpg
Art Decor Sarees,Art Decor Indian Women's Kalamkari Silk Saree with Blouse Piece,379,4000,https://m.media-amazon.com/images/I/910KJPiGcYL._AC_UL320_.jpg
ANNI DESIGNER,Women's Cotton Saree With blouse piece (Pack of 2),349,4999,https://m.media-amazon.com/images/I/813gBue+-vL._AC_UL320_.jpg
Womanista,Women's Pink Chiffon Floral Printed Saree(TI1810_Free Size),519,1559,https://m.media-amazon.com/images/I/71oyKDHk1mL._AC_UL320_.jpg
PERFECTBLUE,Women's Satin Saree with Unstitched Blouse Piece (Matkasatin),339,1999,https://m.media-amazon.com/images/I/81V-m62zsQL._AC_UL320_.jpg
PERFECTBLUE,Women's Linen Saree With Blouse Piece (LinenMiinniimumvaariation),349,2999,https://m.media-amazon.com/images/I/91UI8rE3XML._AC_UL320_.jpg
SGF11,Women's Kanjivaram Soft Silk Saree With Blouse Piece (Pink),999,5999,https://m.media-amazon.com/images/I/417HLZGKzgS._AC_UL320_.jpg
SIRIL,Women's Floral Printed Georgette Saree With Blouse,371,1283,https://m.media-amazon.com/images/I/71IL38UFA5L._AC_UL320_.jpg
Yashika,Women Art silk Sarees SDPL-METRO,249,1077,https://m.media-amazon.com/images/I/91o8CZhjO9L._AC_UL320_.jpg
ANNI DESIGNER,Cotton Saree with Blouse Piece (Pack of 2) (TS02 Blue Brown_Multicolor_Free Size),399,4999,https://m.media-amazon.com/images/I/81YQ4TOE5kL._AC_UL320_.jpg
Naishu Trendz,Women's Banarasi Soft Lichi Silk Kanjivaram Style Saree With Blouse Piece,1199,5949,https://m.media-amazon.com/images/I/31o+0VNLuwS._AC_UL320_.jpg
SIRIL,Women's Lycra Full Elastic Saree Shapewear Petticoat,299,906,https://m.media-amazon.com/images/I/511VKWyatPL._AC_UL320_.jpg
OM SAI LATEST CREATION,Soft Cotton & Silk Saree For Women Banarasi Saree Under 399 2021 Beautiful For Women saree,309,1999,https://m.media-amazon.com/images/I/81YPRFbC5HL._AC_UL320_.jpg
JIYANITEX,Women's Pure Chanderi Cotton Embroidered Work Saree With Blouse Piece,620,1499,https://m.media-amazon.com/images/I/41tLghcepZS._AC_UL320_.jpg
Clothfab,Women's Hot New Releases Sarees for Women Latest Design Party Wear New Collection 2021 Sarees below 500 Rupees Sarees (Green),499,1499,https://m.media-amazon.com/images/I/71f01RhSRuL._AC_UL320_.jpg
ANNI DESIGNER,Women's Chiffon Floral Printed Saree,399,2999,https://m.media-amazon.com/images/I/81xjeaboTNL._AC_UL320_.jpg
SGF11,Women's Banarasi and Kanjivaram Soft Silk Saree with Blouse Piece (Dark Blue),999,5999,https://m.media-amazon.com/images/I/51usCji46NL._AC_UL320_.jpg
PAREVDEE,Women's South Silk jacquard Designer New Cotton Silk Saree with Blouse Piece,599,1599,https://m.media-amazon.com/images/I/71sGG3y2BmS._AC_UL320_.jpg
