0,1,2,3,4,5,6,7,8,9,10
284,13802,8408,13940,5100,15884,8907,8642,15548,949,9449
285,3552,5106,7405,10235,1081,3517,10638,1808,3144,5365
286,8564,12547,6388,13104,14800,2367,7575,5494,11795,11311
287,13186,223,9064,5576,7665,3114,8955,5184,1367,8546
288,2507,4608,1143,2621,11149,4730,8703,1435,10349,2235
289,4134,12195,4817,15554,3749,10224,4875,9071,8827,15864
290,10167,12640,3050,11668,7616,3165,8565,315,12444,13419
291,5380,1002,9763,1865,14969,1542,9650,15658,7014,5105
292,15645,9,12753,183,9412,8022,14321,13553,4958,14601
293,6339,4887,8608,4145,6081,732,14302,7483,14990,2
294,9245,7941,1036,12449,10031,9187,13332,15186,7173,13506
295,13672,5364,12118,13234,7088,4260,5953,15475,15073,12038
296,1085,2745,182,9804,68,1084,5,1268,121,103
297,1266,12325,1199,15786,3249,3774,3131,5200,15713,2445
298,6119,37,4334,918,15322,2997,2188,7,7974,1009
299,12288,8933,6338,11590,8103,15383,11140,11089,6111,11912
300,237,11875,15877,10981,10516,14099,10696,5664,2403,14321
301,2030,6103,8486,7439,4007,2248,13989,13552,12449,12287
302,667,6657,11794,9364,870,552,6527,2176,2660,15280
303,4415,986,11953,7663,1148,13266,5113,9988,8268,7245
304,2073,1066,16045,2608,11316,9313,10865,7956,11538,5147
305,3704,817,16,7590,13656,7224,14518,5415,1595,1151
306,8274,5294,4032,3111,8854,8692,11502,864,11975,2874
307,1659,1321,2586,16063,5619,12127,5167,243,6474,2519
308,11227,7166,5200,3434,3774,15713,14498,10323,3307,17
309,2635,1036,6633,890,5117,6222,3334,13332,10961,1354
310,14305,4551,943,8941,3005,6322,4853,7229,4200,9255
311,10854,590,1042,5785,108,2965,472,10031,8282,13931
312,10059,15508,8537,12768,6549,13124,13488,12986,9313,697
313,7174,9306,8426,8959,14365,5519,3545,13683,8003,12884
314,5728,13520,11081,4388,13565,476,11306,9387,13065,6969
315,14485,12080,15949,14771,1784,11437,11873,2729,6589,15722
316,5624,4265,1250,14892,14609,5976,13420,13433,14263,4466
317,13302,12150,11902,11188,8789,12333,2151,10865,10360,1215
318,69,8956,2077,1988,4027,1065,14322,399,4327,11277
319,8484,7191,2135,6486,14643,8390,8179,3152,7602,2656
320,12153,650,6927,1662,11250,8835,10258,1366,8036,2501
321,15073,864,3969,2874,11975,5345,8413,1685,12920,8243
322,6227,1254,900,8752,6985,9068,1241,6693,11499,1435
323,127,141,3912,5426,12674,9503,8630,4357,4638,6310
324,4183,2935,5819,14026,5166,2658,7211,1124,13171,11494
325,15956,10198,1933,12367,3185,12752,10423,14819,3486,6416
326,119,1210,7738,834,4954,13105,15073,152,170,874
327,1054,682,11250,6530,661,1766,4628,1662,1113,3888
328,12026,15523,7420,2200,3618,12734,895,4374,4333,10882
329,144,13264,8848,13803,11032,6513,2131,2863,1502,8838
330,2082,3580,104,14601,11845,14156,5837,12039,2498,9
331,13338,15981,11219,2110,4294,8023,11341,3521,14184,13622
332,797,6198,5360,5739,14899,6274,11522,1849,489,3909
333,1850,12383,5410,4452,12119,5904,10150,6174,493,3473
334,9475,14549,2881,4801,2328,15209,11032,4761,10858,5796
335,5945,2559,4779,2468,5670,14375,1767,11197,3006,13339
336,1865,7386,15490,11473,249,15880,1542,11507,10815,1451
337,2438,876,2932,9860,7670,7788,14621,9699,3389,9539
338,10587,11321,15119,763,3969,864,14898,10083,3771,5383
339,2405,7547,10569,789,1724,13032,5987,179,11877,5138
340,8865,1881,2495,4877,13302,6561,11188,1878,11699,5649
341,6366,12833,12444,3444,1028,14709,10472,3848,13807,15859
342,7763,3632,2415,11038,122,6693,846,7350,9945,3871
343,5192,5688,3087,11483,1186,6319,15227,14517,3089,13050
344,16018,7553,2644,2139,7175,1108,2367,7505,3808,14731
345,11628,5619,12437,3863,6085,12153,7519,5167,6813,10212
346,12466,5342,9771,434,9534,2659,4049,11631,3256,12243
347,9408,948,13591,2316,12757,3940,4093,12455,12196,11107
348,7079,6594,7412,8401,11760,11401,9593,6107,1140,11379
349,6790,15883,9577,15494,3794,3059,6249,4075,7894,9920
350,6010,7493,13946,13943,14072,8444,14248,11645,9753,8624
351,14974,14063,5100,4712,9532,774,1119,15884,14647,2129
352,5033,1748,2736,6785,2159,4607,10691,7820,9794,2990
353,4469,10785,9733,10805,1628,10847,6570,6520,3369,14924
354,9003,6019,1892,7470,7702,7882,1833,8326,839,8433
355,5618,4535,6151,13506,4803,14344,891,5554,7173,14501
356,7772,12311,1889,3177,6166,15792,11617,3706,9232,13622
357,10378,1279,2242,13915,15160,4401,15113,10457,244,12934
358,8334,3360,1005,10956,7626,14340,15890,8993,1724,789
359,804,275,7601,10487,14535,11644,11964,7588,6683,6387
360,11500,4805,872,4444,200,8615,676,10125,14760,12053
361,11137,140,14288,1539,6602,6505,5109,4023,13858,14563
362,1435,8703,12,14990,2,7975,14258,4887,2621,1031
363,2894,2253,11217,12548,7312,11843,14921,2081,1762,15940
364,13230,10562,7103,7998,4508,5734,1203,5534,5081,8832
365,1515,1782,1944,5548,14666,15281,4680,9042,5753,3289
366,1972,4736,7216,7749,11923,3514,5723,390,853,8494
367,5108,5805,14320,11939,4554,9829,8444,2908,260,10565
368,1888,3915,5736,9049,9699,3413,15083,10974,6308,5902
369,10604,4633,4033,1969,14551,4451,593,6785,15638,9788
370,962,485,3446,542,959,13780,564,3001,812,1386
371,495,176,14433,6639,3008,10930,12397,668,12045,1694
372,724,4213,10647,109,3299,13555,220,9362,11213,1425
373,9488,12430,13575,5627,865,10627,13071,153,3032,4964
374,2593,9613,4902,515,1602,2047,10556,907,1359,14577
375,44,8162,11895,9331,1175,9313,8530,7677,2590,4635
376,1766,7440,661,731,10916,571,1054,66,1953,4839
